method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
ours (watershed),SkBr3_Phase_G3_2_02d20h00m_1.tif,0.5431049725469721,477,60,49,0.8974600188146754,0.8329830573209475,537,526
ours (watershed),SkBr3_Phase_G3_1_02d20h00m_2.tif,0.5477818668050606,447,70,76,0.8596153846153847,0.8358848801774701,517,523
ours (watershed),SHSY5Y_Phase_A10_1_02d08h00m_1.tif,0.55562100415207,387,281,207,0.6133122028526149,0.7122797548215736,668,594
ours (watershed),SKOV3_Phase_F4_1_01d16h00m_4.tif,0.5617371707003943,64,113,23,0.4848484848484848,0.7821938016346572,177,87
ours (watershed),SkBr3_Phase_G3_2_03d08h00m_2.tif,0.5677904742132884,484,84,67,0.8650580875781948,0.8307730226857593,568,551
ours (watershed),SHSY5Y_Phase_A10_1_02d04h00m_1.tif,0.5744628777862822,355,273,223,0.5887230514096186,0.6772129214919653,628,578
ours (watershed),MCF7_Phase_H4_1_02d12h00m_4.tif,0.5853660441706763,587,162,186,0.771353482260184,0.7470733344706514,749,773
ours (watershed),SkBr3_Phase_G3_2_03d08h00m_4.tif,0.5923533996667588,438,81,68,0.8546341463414634,0.8368774091002363,519,506
ours (watershed),SkBr3_Phase_G3_2_03d12h00m_4.tif,0.6037668222792922,465,78,74,0.8595194085027726,0.8374810260169991,543,539
ours (watershed),SKOV3_Phase_E4_1_00d20h00m_1.tif,0.6111803534746518,73,146,46,0.4319526627218935,0.7088193783552527,219,119
ours (watershed),MCF7_Phase_H4_2_03d16h00m_1.tif,0.6209018373033282,682,310,382,0.6634241245136187,0.736881379231636,992,1064
ours (watershed),SKOV3_Phase_E4_1_01d00h00m_1.tif,0.6279902730277525,87,119,59,0.4943181818181818,0.7617724782355279,206,146
ours (watershed),SkBr3_Phase_G3_2_03d08h00m_1.tif,0.6328579001857547,562,88,61,0.8829536527886881,0.8346052873130294,650,623
ours (watershed),MCF7_Phase_H4_2_02d12h00m_2.tif,0.6489565538953214,566,176,463,0.6391869000564653,0.7449457243164045,742,1029
ours (watershed),MCF7_Phase_H4_1_03d08h00m_3.tif,0.6530734780648965,614,258,249,0.7077809798270893,0.7313021386031263,872,863
ours (watershed),SKOV3_Phase_F4_2_01d08h00m_2.tif,0.6631317093258323,87,122,30,0.5337423312883436,0.7521250293530941,209,117
ours (watershed),MCF7_Phase_H4_2_03d08h00m_2.tif,0.6736426949027488,693,327,573,0.6062992125984252,0.7028831536923829,1020,1266
ours (watershed),SKOV3_Phase_E4_2_01d16h00m_4.tif,0.6815534055397634,97,103,25,0.6024844720496895,0.754770419447011,200,122
ours (watershed),SkBr3_Phase_G3_2_03d12h00m_3.tif,0.6886190432419088,603,71,88,0.8835164835164835,0.8322173248205116,674,691
ours (watershed),SHSY5Y_Phase_A10_1_03d00h00m_3.tif,0.6974546216674177,598,290,388,0.6382070437566703,0.6988881328043831,888,986
ours (watershed),SKOV3_Phase_F4_2_01d12h00m_1.tif,0.7039361254370582,103,125,35,0.5628415300546448,0.7470491430593125,228,138
ours (watershed),SKOV3_Phase_E4_1_01d16h00m_3.tif,0.7178174923513944,103,92,32,0.6242424242424243,0.7626560309862525,195,135
ours (watershed),SKOV3_Phase_E4_2_01d16h00m_2.tif,0.728647390461094,110,111,25,0.6179775280898876,0.768651390997674,221,135
ours (watershed),BV2_Phase_A4_1_02d04h00m_2.tif,0.7376357161003044,776,75,982,0.5948639325412035,0.8361900917715875,851,1758
ours (watershed),A172_Phase_C7_1_02d00h00m_2.tif,0.750573590881781,239,119,152,0.6381842456608812,0.7113956987644046,358,391
ours (watershed),SKOV3_Phase_E4_2_02d04h00m_3.tif,0.7612629919689756,134,115,37,0.638095238095238,0.756833016457333,249,171
ours (watershed),SHSY5Y_Phase_A10_1_03d00h00m_1.tif,0.7732970663516148,545,401,377,0.5835117773019272,0.6839906797553109,946,922
ours (watershed),SHSY5Y_Phase_A10_1_03d08h00m_2.tif,0.7991580852545952,547,428,714,0.4892665474060823,0.6737622425452305,975,1261
ours (watershed),SKOV3_Phase_E4_2_02d08h00m_3.tif,0.8169037991695806,147,129,39,0.6363636363636364,0.7486758624565227,276,186
