setting,file,phi,tp,fp,fn,f1,matched_iou
balanced,Huh7_Phase_A12_1_03d12h00m_4.tif,0.2366094393301972,39,24,10,0.6964285714285714,0.8179063347272173
measurement-optimal,Huh7_Phase_A12_1_03d12h00m_4.tif,0.2366094393301972,32,8,17,0.7191011235955056,0.8137464921264861
connected components,Huh7_Phase_A12_1_03d12h00m_4.tif,0.2366094393301972,11,10,38,0.3142857142857143,0.8677689663230951
detection-optimal,BT474_Phase_D3_2_02d00h00m_3.tif,0.23888054441651768,133,67,58,0.680306905370844,0.7664606014479152
balanced,BT474_Phase_D3_2_02d00h00m_3.tif,0.23888054441651768,113,49,78,0.6402266288951841,0.7805247094968216
measurement-optimal,BT474_Phase_D3_2_02d00h00m_3.tif,0.23888054441651768,82,23,109,0.5540540540540541,0.7948488851819562
connected components,BT474_Phase_D3_2_02d00h00m_3.tif,0.23888054441651768,16,27,175,0.13675213675213677,0.8700689997699336
detection-optimal,BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,474,45,81,0.88268156424581,0.8002674429219515
balanced,BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,459,41,96,0.8701421800947867,0.8000536640854858
measurement-optimal,BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,365,59,190,0.745658835546476,0.8014699217761259
connected components,BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,29,34,526,0.09385113268608414,0.8185622213715259
detection-optimal,BT474_Phase_D3_2_01d16h00m_4.tif,0.24451717179304336,135,51,55,0.7180851063829787,0.7667829858506875
balanced,BT474_Phase_D3_2_01d16h00m_4.tif,0.24451717179304336,111,38,79,0.6548672566371682,0.7764593088779578
measurement-optimal,BT474_Phase_D3_2_01d16h00m_4.tif,0.24451717179304336,84,30,106,0.5526315789473685,0.788907876603712
connected components,BT474_Phase_D3_2_01d16h00m_4.tif,0.24451717179304336,20,24,170,0.17094017094017094,0.7998430311279631
detection-optimal,A172_Phase_C7_2_00d08h00m_3.tif,0.2461560301027109,71,36,10,0.7553191489361702,0.8078202657544069
balanced,A172_Phase_C7_2_00d08h00m_3.tif,0.2461560301027109,69,17,12,0.8263473053892215,0.8244860402586371
measurement-optimal,A172_Phase_C7_2_00d08h00m_3.tif,0.2461560301027109,63,7,18,0.8344370860927153,0.830706829286942
connected components,A172_Phase_C7_2_00d08h00m_3.tif,0.2461560301027109,27,15,54,0.43902439024390244,0.8050752893041169
detection-optimal,SkBr3_Phase_G3_2_01d04h00m_4.tif,0.24820141922529973,240,19,15,0.933852140077821,0.881913505822917
balanced,SkBr3_Phase_G3_2_01d04h00m_4.tif,0.24820141922529973,237,14,18,0.9367588932806324,0.8811714658197481
measurement-optimal,SkBr3_Phase_G3_2_01d04h00m_4.tif,0.24820141922529973,230,6,25,0.9368635437881874,0.8820495831577773
connected components,SkBr3_Phase_G3_2_01d04h00m_4.tif,0.24820141922529973,63,41,192,0.35097493036211697,0.8212724903025174
detection-optimal,MCF7_Phase_H4_1_01d12h00m_1.tif,0.2508744645979011,226,42,41,0.8448598130841122,0.7863693567874461
balanced,MCF7_Phase_H4_1_01d12h00m_1.tif,0.2508744645979011,210,37,57,0.8171206225680934,0.7899472122913804
measurement-optimal,MCF7_Phase_H4_1_01d12h00m_1.tif,0.2508744645979011,169,29,98,0.7268817204301076,0.7854760881904765
connected components,MCF7_Phase_H4_1_01d12h00m_1.tif,0.2508744645979011,11,25,256,0.07260726072607261,0.7080875416073439
detection-optimal,SkBr3_Phase_G3_1_01d12h00m_3.tif,0.2535568146306825,207,38,26,0.8661087866108786,0.7933825296507467
balanced,SkBr3_Phase_G3_1_01d12h00m_3.tif,0.2535568146306825,204,30,29,0.8736616702355461,0.7940364812965243
measurement-optimal,SkBr3_Phase_G3_1_01d12h00m_3.tif,0.2535568146306825,191,19,42,0.8623024830699775,0.8051249661497519
connected components,SkBr3_Phase_G3_1_01d12h00m_3.tif,0.2535568146306825,52,38,181,0.3219814241486068,0.7671421281942099
detection-optimal,Huh7_Phase_A12_1_03d12h00m_2.tif,0.25579998524912045,39,54,16,0.527027027027027,0.7847497118865298
balanced,Huh7_Phase_A12_1_03d12h00m_2.tif,0.25579998524912045,35,31,20,0.5785123966942148,0.7813661719428049
measurement-optimal,Huh7_Phase_A12_1_03d12h00m_2.tif,0.25579998524912045,27,8,28,0.6,0.7677402053152362
connected components,Huh7_Phase_A12_1_03d12h00m_2.tif,0.25579998524912045,7,21,48,0.1686746987951807,0.7998746410502331
detection-optimal,BT474_Phase_D3_2_03d12h00m_2.tif,0.2579885070203246,110,77,38,0.6567164179104478,0.7370913519544654
balanced,BT474_Phase_D3_2_03d12h00m_2.tif,0.2579885070203246,92,47,56,0.6411149825783972,0.7331624524954424
measurement-optimal,BT474_Phase_D3_2_03d12h00m_2.tif,0.2579885070203246,64,26,84,0.5378151260504201,0.7645860303982114
connected components,BT474_Phase_D3_2_03d12h00m_2.tif,0.2579885070203246,13,32,135,0.13471502590673576,0.7937916084668731
